plate,comp,ineq_treatment,hyphal_bm_mg,hyphal_QD_total,hyphal_QD_total_from_other_hypal,hyphal_QD_in_root_from_poor_total,hyphal_QD_in_root_from_rich_total,percent_cyto,percent_vac,root_bm_mg,total_root_bm_mg,root_QD_per_mg_root_rich_origin,root_QD_per_mg_root_poor_origin
19,Root,High,2.370064999,NA,NA,0.000154252,0.000194547,76.38883169,23.61116831,49.1,79.5,0.00012866,0.000254
20,Poor,High,0.341991496,0.001152056,0.001788661,NA,NA,85.16748741,14.83251259,NA,NA,NA,NA
20,Rich,High,0.202595977,0.002249608,0.001672761,NA,NA,85.85834254,14.14165746,NA,NA,NA,NA
20,Root,High,0.143127224,NA,NA,0.005155646,0.007733954,86.30894236,13.69105764,37.7,56,0.000980856,0.000027
21,Poor,High,NA,NA,NA,NA,NA,91.04592368,8.954076323,NA,NA,NA,NA
21,Rich,High,0.242204493,0.00162949,0.001360143,NA,NA,77.85901824,22.14098176,NA,NA,NA,NA
21,Root,High,0.503662791,NA,NA,0.000609272,0.000904145,75.18937968,24.81062032,49.8,59.5,0.000210348,0.000139
22,Poor,High,1.076394941,0.000472237,0.000743096,NA,NA,87.97589235,12.02410765,NA,NA,NA,NA
22,Rich,High,0.122624512,0.004827592,0.003587716,NA,NA,80.4372567,19.5627433,NA,NA,NA,NA
22,Root,High,NA,NA,NA,NA,NA,67.32798618,32.67201382,35,53,0.00059155,0.000073
23,Poor,High,0.717339912,0.001074902,0.001474507,NA,NA,94.24286761,5.757132386,NA,NA,NA,NA
23,Rich,High,NA,NA,NA,NA,NA,65.02882153,34.97117847,NA,NA,NA,NA
23,Root,High,1.306936751,NA,NA,0.000353074,0.000434086,71.08858977,28.91141023,26.6,35.7,0.000235713,0.000147
24,Poor,High,0.573490153,0.000646278,0.000827883,NA,NA,93.73906454,6.260935462,NA,NA,NA,NA
24,Rich,High,0.701059442,0.000904117,0.000797214,NA,NA,78.28594243,21.71405757,NA,NA,NA,NA
24,Root,High,0.436674868,NA,NA,0.001589188,0.001760693,66.13782925,33.86217075,43.2,66.3,0.001597619,0.000344
25,Poor,High,0.529502518,0.000802686,0.001508402,NA,NA,97.46181528,2.538184718,NA,NA,NA,NA
25,Rich,High,0.368426738,0.001982739,0.001421216,NA,NA,80.62288496,19.37711504,NA,NA,NA,NA
25,Root,High,0.195317739,NA,NA,0.003243561,0.0040224,59.18159648,40.81840352,38.6,86,0.000509436,0.000299
26,Poor,High,0.217683058,0.001897436,0.003261121,NA,NA,83.97861932,16.02138068,NA,NA,NA,NA
26,Rich,High,0.099620866,0.007214615,0.004940801,NA,NA,84.10205026,15.89794974,NA,NA,NA,NA
26,Root,High,0.712966025,NA,NA,0.00059195,0.000965801,75.95360628,24.04639372,52.7,93.6,0.000887433,0.000503
27,Poor,High,0.546842962,0.001624809,0.001823611,NA,NA,94.55890609,5.441093907,NA,NA,NA,NA
27,Rich,High,0.25376718,0.00432179,0.003456052,NA,NA,85.33014354,14.66985646,NA,NA,NA,NA
27,Root,High,0.757636249,NA,NA,0.000790115,0.000867085,90.58352586,9.41647414,39.7,65.4,0.000986729,0.000480
28,Poor,High,0.13188565,0.005358051,0.00759397,NA,NA,89.63723013,10.36276987,NA,NA,NA,NA
28,Rich,High,0.530111264,0.002007531,0.001434583,NA,NA,86.24127364,13.75872636,NA,NA,NA,NA
28,Root,High,0.461612663,NA,NA,0.002891515,0.002791418,94.40116797,5.598832027,57.5,85.9,0.000384729,0.000222
51,Poor,Medium,0.152067378,0.026203841,0.041854884,NA,NA,74.2901577,25.7098423,NA,NA,NA,NA
51,Rich,Medium,0.414701226,0.012595321,0.007959022,NA,NA,59.17091665,40.82908335,NA,NA,NA,NA
51,Root,Medium,0.146766273,NA,NA,0.033501228,0.020259528,51.78784137,48.21215863,37,60.4,0.000984021,0.000249
52,Poor,Medium,0.287300667,0.017878256,0.019402595,NA,NA,78.68240436,21.31759564,NA,NA,NA,NA
52,Rich,Medium,0.109154018,0.070990064,0.050302814,NA,NA,72.4719428,27.5280572,NA,NA,NA,NA
52,Root,Medium,0.265847257,NA,NA,0.015572203,0.011413877,64.64511472,35.35488528,42.9,67.4,0.001431225,0.000338
53,Poor,Medium,0.127825796,0.059603073,0.070136694,NA,NA,77.86427329,22.13572671,NA,NA,NA,NA
53,Rich,Medium,0.333711008,0.0229144,0.011448791,NA,NA,62.54874544,37.45125456,NA,NA,NA,NA
53,Root,Medium,0.164192924,NA,NA,0.051937906,0.03658719,73.69156768,26.30843232,46.5,54.6,0.001090178,0.000555
54,Poor,Medium,0.39961382,0.004985948,0.005797175,NA,NA,81.47047887,18.52952113,NA,NA,NA,NA
54,Rich,Medium,0.137627372,0.021974043,0.01270386,NA,NA,82.50903413,17.49096587,NA,NA,NA,NA
54,Root,Medium,0.314431997,NA,NA,0.019531607,0.014877609,46.9613384,53.0386616,42.5,59.4,0.000570857,0.000226
55,Poor,Medium,0.154337694,0.010172301,0.017831058,NA,NA,80.56384226,19.43615774,NA,NA,NA,NA
55,Rich,Medium,0.182463847,0.01484744,0.012129822,NA,NA,82.63529639,17.36470361,NA,NA,NA,NA
55,Root,Medium,0.695562016,NA,NA,0.003656341,0.002502658,59.52156063,40.47843937,36.6,56.8,0.000651765,0.000444
57,Poor,Medium,0.11785309,0.029678139,0.036288489,NA,NA,87.5608887,12.4391113,NA,NA,NA,NA
57,Rich,Medium,0.122139472,0.033652858,0.031033071,NA,NA,83.48867129,16.51132871,NA,NA,NA,NA
57,Root,Medium,0.237490871,NA,NA,0.013100354,0.010990489,77.89454844,22.10545156,30.5,58.7,0.000786154,0.000359
58,Poor,Medium,0.188164264,0.013002684,0.017745451,NA,NA,76.01769535,23.98230465,NA,NA,NA,NA
58,Rich,Medium,0.262540603,0.010181993,0.005581096,NA,NA,62.54614482,37.45385518,NA,NA,NA,NA
58,Root,Medium,0.179915099,NA,NA,0.027710703,0.017849671,77.00441563,22.99558437,28.2,62.55,0.000559009,0.000269
59,Poor,Medium,0.638064867,0.0024298,0.003577502,NA,NA,71.18469794,28.81530206,NA,NA,NA,NA
59,Rich,Medium,0.12760626,0.019810278,0.010847242,NA,NA,80.87146781,19.12853219,NA,NA,NA,NA
59,Root,Medium,0.167768462,NA,NA,0.013903154,0.008931423,58.8213864,41.1786136,45.2,64.35,0.000500005,0.000278
61,Poor,Medium,0.226221282,0.011167159,0.010909067,NA,NA,72.64390695,27.35609305,NA,NA,NA,NA
61,Rich,Medium,NA,NA,NA,NA,NA,86.82798976,13.17201024,NA,NA,NA,NA
61,Root,Medium,0.406513945,NA,NA,0.006448471,0.005335189,59.036499,40.963501,51.4,101.7,0.000272997,0.000391
62,Poor,Medium,0.888486016,0.003483978,0.003767049,NA,NA,93.92975835,6.070241651,NA,NA,NA,NA
62,Rich,Medium,0.148866899,0.020186004,0.016290339,NA,NA,79.90200555,20.09799445,NA,NA,NA,NA
62,Root,Medium,0.412880787,NA,NA,0.009405775,0.008823189,83.32905041,16.67094959,52.1,62.8,0.000813577,0.000360
63,Poor,Medium,0.128103959,0.015662052,0.025205137,NA,NA,88.86012085,11.13987915,NA,NA,NA,NA
63,Rich,Medium,0.217431636,0.005865062,0.004148093,NA,NA,90.30843576,9.691564244,NA,NA,NA,NA
63,Root,Medium,0.204474167,NA,NA,0.007714184,0.00611112,68.97865742,31.02134258,39.2,72.4,0.000878495,0.000237
64,Poor,Medium,0.314505443,0.005754437,0.006628155,NA,NA,85.2589626,14.7410374,NA,NA,NA,NA
64,Rich,Medium,0.183097368,0.006787998,0.00209318,NA,NA,89.24636017,10.75363983,NA,NA,NA,NA
64,Root,Medium,0.376074934,NA,NA,0.002687473,0.001468487,52.84177596,47.15822404,35.4,55.6,0.00015322,0.000351
65,Poor,Medium,0.125765465,0.002812239,0.008994502,NA,NA,77.70381182,22.29618818,NA,NA,NA,NA
65,Rich,Medium,0.29104513,0.005677943,0.003783488,NA,NA,86.82753259,13.17246741,NA,NA,NA,NA
65,Root,Medium,0.413788065,NA,NA,0.002494657,0.000891278,58.88450707,41.11549293,33.4,38.36,9.84849E-05,0.000297
66,Poor,Medium,0.212995347,0.011510375,0.018738138,NA,NA,84.63073268,15.36926732,NA,NA,NA,NA
